ID,Prediction_1
vc-exact_031_62,0.9988143444061279
vc-exact_069_46,1.0
vc-exact_047_72,1.0
vc-exact_045_38,0.0022744687739759684
vc-exact_069_144,0.9999994039535522
vc-exact_157_2291,0.9997313618659973
vc-exact_049_65,1.0
vc-exact_157_1042,0.9998294115066528
vc-exact_157_2838,0.9773199558258057
vc-exact_047_59,1.0
vc-exact_157_2938,0.9999872446060181
vc-exact_041_75,0.00011296895536361262
vc-exact_061_136,1.0
vc-exact_035_55,0.0006872686208225787
vc-exact_131_1800,0.9843423962593079
vc-exact_131_1990,0.9894490242004395
vc-exact_131_2340,0.9999946355819702
vc-exact_157_2612,0.004718615207821131
vc-exact_005_147,1.0
vc-exact_131_759,0.9999986886978149
vc-exact_131_861,0.999933123588562
vc-exact_157_151,0.9998316764831543
vc-exact_059_137,1.0
vc-exact_053_58,1.0
vc-exact_131_1970,0.9936549663543701
vc-exact_131_1068,0.9985858201980591
vc-exact_077_130,1.6902585193244363e-26
vc-exact_131_1242,0.9998329877853394
vc-exact_131_1839,0.023510487750172615
vc-exact_071_163,1.0
vc-exact_077_59,0.9999600648880005
vc-exact_131_973,0.9995961785316467
vc-exact_157_315,0.9934026598930359
vc-exact_059_187,1.0
vc-exact_157_689,0.9999511241912842
vc-exact_157_2930,0.044151101261377335
vc-exact_077_128,1.0
vc-exact_157_1244,9.280423546442762e-05
vc-exact_157_2083,0.010789298452436924
vc-exact_157_307,0.9788700342178345
vc-exact_131_2534,0.0006913936231285334
vc-exact_131_612,0.9961848855018616
vc-exact_157_2955,0.9908428192138672
vc-exact_081_98,1.0
vc-exact_157_2112,0.0007964259712025523
vc-exact_065_167,1.0
vc-exact_073_153,9.725735841681349e-13
vc-exact_049_107,0.999764621257782
vc-exact_083_67,1.0
vc-exact_093_20,1.5347621911132592e-06
vc-exact_091_67,0.9999994039535522
vc-exact_157_2252,9.998111636377871e-05
vc-exact_131_481,0.9955456256866455
vc-exact_019_70,3.951003181917813e-16
vc-exact_051_196,6.495332627309836e-08
vc-exact_091_60,1.0
vc-exact_037_168,0.9999831914901733
vc-exact_131_812,0.09695487469434738
vc-exact_093_168,3.1972206215868937e-07
vc-exact_131_1712,0.009752807207405567
vc-exact_157_1631,0.9638289213180542
vc-exact_131_720,0.9997122883796692
vc-exact_073_25,0.9999960660934448
vc-exact_073_66,1.0
vc-exact_035_67,0.9959425330162048
vc-exact_131_2235,0.0006549124955199659
vc-exact_055_144,0.99683678150177
vc-exact_157_2220,0.9969762563705444
vc-exact_093_17,1.0
vc-exact_131_2948,0.0002682441263459623
vc-exact_067_185,0.0003842926525976509
vc-exact_157_1145,0.9999483823776245
vc-exact_093_193,0.000280717940768227
vc-exact_081_191,1.0
vc-exact_047_41,0.9999998807907104
vc-exact_131_2886,0.9874661564826965
vc-exact_069_109,1.6805967153945417e-13
vc-exact_131_1106,0.009048976004123688
vc-exact_053_188,1.0
vc-exact_131_683,0.9999446868896484
vc-exact_131_1478,0.9986009001731873
vc-exact_053_80,7.263682277880434e-08
vc-exact_131_2003,0.9998427629470825
vc-exact_081_55,4.475097514777815e-10
vc-exact_093_83,0.00016246693849097937
vc-exact_067_61,7.473745790775865e-05
vc-exact_131_1406,0.9975722432136536
vc-exact_077_154,0.9999910593032837
vc-exact_131_1114,0.9723053574562073
vc-exact_091_48,0.999916672706604
vc-exact_073_162,2.0597061315091696e-14
vc-exact_131_1933,0.9995344877243042
vc-exact_131_1999,0.9995144605636597
vc-exact_083_90,1.0
vc-exact_131_1510,0.0006086271023377776
vc-exact_157_1946,0.06952497363090515
vc-exact_131_2220,0.012108768336474895
vc-exact_131_2082,0.9999653100967407
vc-exact_157_2810,0.03820282965898514
vc-exact_131_526,0.9998369216918945
vc-exact_131_1356,0.9736349582672119
vc-exact_131_215,0.9999810457229614
vc-exact_131_125,0.008555171079933643
vc-exact_157_381,0.0209913682192564
vc-exact_157_2097,0.00564689701423049
vc-exact_035_11,1.48332378557825e-06
vc-exact_131_286,0.999784529209137
vc-exact_041_49,1.0
